"UserId","Category","Num_books_for_Category","Spending"
"User_00466","Bambini e Ragazzi",1,6
"User_00467","Bambini e Ragazzi",1,44
"User_00468","Bambini e Ragazzi",1,8
"User_00469","Bambini e Ragazzi",1,55
"User_00470","Bambini e Ragazzi",1,4
"User_00471","Bambini e Ragazzi",1,10
"User_00472","Bambini e Ragazzi",1,10
"User_00473","Bambini e Ragazzi",1,2
"User_00474","Bambini e Ragazzi",3,15
"User_00475","Bambini e Ragazzi",1,10
"User_00476","Bambini e Ragazzi",1,6
"User_00477","Bambini e Ragazzi",1,48
"User_00478","Bambini e Ragazzi",1,48
"User_00479","Bambini e Ragazzi",1,32
"User_00480","Bambini e Ragazzi",1,13
"User_00481","Bambini e Ragazzi",1,7
"User_00482","Bambini e Ragazzi",2,82
"User_00483","Bambini e Ragazzi",1,5
"User_00484","Bambini e Ragazzi",1,2
"User_00485","Bambini e Ragazzi",1,10
"User_00486","Bambini e Ragazzi",1,48
"User_00487","Bambini e Ragazzi",1,22
"User_00488","Bambini e Ragazzi",2,36
"User_00489","Bambini e Ragazzi",1,5
"User_00490","Bambini e Ragazzi",1,28
"User_00491","Bambini e Ragazzi",1,1
"User_00492","Bambini e Ragazzi",1,10
"User_00493","Bambini e Ragazzi",1,3
"User_00494","Bambini e Ragazzi",1,4
"User_00495","Bambini e Ragazzi",2,60
"User_00496","Bambini e Ragazzi",1,30
"User_00497","Bambini e Ragazzi",2,20
"User_00498","Bambini e Ragazzi",1,10
"User_00499","Bambini e Ragazzi",1,4
"User_00500","Bambini e Ragazzi",4,114
"User_00501","Bambini e Ragazzi",1,14
"User_00502","Bambini e Ragazzi",1,5
"User_00503","Bambini e Ragazzi",1,10
"User_00504","Bambini e Ragazzi",1,8
"User_00505","Bambini e Ragazzi",1,1
"User_00506","Bambini e Ragazzi",2,22
"User_00507","Bambini e Ragazzi",1,7
"User_00508","Bambini e Ragazzi",1,11
"User_00509","Bambini e Ragazzi",1,20
"User_00510","Bambini e Ragazzi",2,20
"User_00511","Bambini e Ragazzi",1,4
"User_00512","Bambini e Ragazzi",1,10
"User_00513","Bambini e Ragazzi",2,14
"User_00514","Bambini e Ragazzi",1,59
"User_00515","Bambini e Ragazzi",1,10
"User_00516","Bambini e Ragazzi",1,16
"User_00517","Bambini e Ragazzi",1,2
"User_00518","Bambini e Ragazzi",1,8
"User_00519","Bambini e Ragazzi",2,40
"User_00520","Bambini e Ragazzi",1,10
"User_00521","Bambini e Ragazzi",2,12
"User_00522","Bambini e Ragazzi",1,4
"User_00523","Bambini e Ragazzi",1,3
"User_00524","Bambini e Ragazzi",1,10
"User_00525","Bambini e Ragazzi",1,18
"User_00526","Bambini e Ragazzi",1,14
"User_00527","Bambini e Ragazzi",1,10
"User_00528","Bambini e Ragazzi",1,8
"User_00529","Bambini e Ragazzi",1,10
"User_00530","Bambini e Ragazzi",1,14
"User_00531","Bambini e Ragazzi",1,58
"User_00532","Bambini e Ragazzi",1,10
"User_00533","Bambini e Ragazzi",1,20
"User_00534","Bambini e Ragazzi",1,10
"User_00535","Bambini e Ragazzi",1,4
"User_00536","Bambini e Ragazzi",1,10
"User_00537","Bambini e Ragazzi",1,10
"User_00538","Bambini e Ragazzi",1,50
"User_00539","Bambini e Ragazzi",1,20
"User_00540","Bambini e Ragazzi",1,5
"User_00541","Bambini e Ragazzi",1,10
"User_00542","Bambini e Ragazzi",1,24
"User_00543","Bambini e Ragazzi",1,20
"User_00544","Bambini e Ragazzi",1,8
"User_00545","Bambini e Ragazzi",2,60
"User_00546","Bambini e Ragazzi",1,10
"User_00547","Bambini e Ragazzi",1,20
"User_00548","Bambini e Ragazzi",1,80
"User_00549","Bambini e Ragazzi",2,146
"User_00550","Bambini e Ragazzi",1,2
"User_00551","Bambini e Ragazzi",1,4
"User_00552","Bambini e Ragazzi",1,3
"User_00553","Bambini e Ragazzi",1,4
"User_00554","Bambini e Ragazzi",1,10
"User_00555","Bambini e Ragazzi",3,194
"User_00556","Bambini e Ragazzi",1,60
"User_00557","Bambini e Ragazzi",1,44
"User_00558","Bambini e Ragazzi",1,44
